Time,Time,value,area,kind,period
2020-04-03 09:00:00,9,8.0,CS,SO2,l3
2020-04-03 10:00:00,10,9.0,CS,SO2,l3
2020-04-03 11:00:00,11,8.4,CS,SO2,l3
2020-04-03 12:00:00,12,8.4,CS,SO2,l3
2020-04-03 13:00:00,13,7.6,CS,SO2,l3
2020-04-03 14:00:00,14,7.4,CS,SO2,l3
2020-04-03 15:00:00,15,6.6,CS,SO2,l3
2020-04-03 16:00:00,16,6.4,CS,SO2,l3
2020-04-03 17:00:00,17,6.2,CS,SO2,l3
2020-04-03 18:00:00,18,6.2,CS,SO2,l3
2020-04-03 19:00:00,19,6.2,CS,SO2,l3
2020-04-03 20:00:00,20,6.4,CS,SO2,l3
2020-04-03 21:00:00,21,6.6,CS,SO2,l3
2020-04-03 22:00:00,22,6.8,CS,SO2,l3
2020-04-03 23:00:00,23,7.0,CS,SO2,l3
2020-04-04 00:00:00,0,7.4,CS,SO2,l3
2020-04-04 01:00:00,1,7.0,CS,SO2,l3
2020-04-04 02:00:00,2,7.4,CS,SO2,l3
2020-04-04 03:00:00,3,7.4,CS,SO2,l3
2020-04-04 04:00:00,4,7.2,CS,SO2,l3
2020-04-04 05:00:00,5,8.8,CS,SO2,l3
2020-04-04 06:00:00,6,10.4,CS,SO2,l3
2020-04-04 07:00:00,7,10.0,CS,SO2,l3
2020-04-04 08:00:00,8,9.0,CS,SO2,l3
2020-04-04 09:00:00,9,8.2,CS,SO2,l3
2020-04-04 10:00:00,10,8.8,CS,SO2,l3
2020-04-04 11:00:00,11,10.0,CS,SO2,l3
2020-04-04 12:00:00,12,9.8,CS,SO2,l3
2020-04-04 13:00:00,13,8.4,CS,SO2,l3
2020-04-04 14:00:00,14,7.8,CS,SO2,l3
2020-04-04 15:00:00,15,7.6,CS,SO2,l3
2020-04-04 16:00:00,16,7.6,CS,SO2,l3
2020-04-04 17:00:00,17,7.4,CS,SO2,l3
2020-04-04 18:00:00,18,7.4,CS,SO2,l3
2020-04-04 19:00:00,19,6.8,CS,SO2,l3
2020-04-04 20:00:00,20,6.0,CS,SO2,l3
2020-04-04 21:00:00,21,5.8,CS,SO2,l3
2020-04-04 22:00:00,22,6.4,CS,SO2,l3
2020-04-04 23:00:00,23,6.6,CS,SO2,l3
2020-04-05 00:00:00,0,7.0,CS,SO2,l3
2020-04-05 01:00:00,1,6.4,CS,SO2,l3
2020-04-05 02:00:00,2,6.6,CS,SO2,l3
2020-04-05 03:00:00,3,6.6,CS,SO2,l3
2020-04-05 04:00:00,4,6.4,CS,SO2,l3
2020-04-05 05:00:00,5,6.2,CS,SO2,l3
2020-04-05 06:00:00,6,6.0,CS,SO2,l3
2020-04-05 07:00:00,7,5.8,CS,SO2,l3
2020-04-05 08:00:00,8,6.2,CS,SO2,l3
2020-04-05 09:00:00,9,7.2,CS,SO2,l3
2020-04-05 10:00:00,10,8.2,CS,SO2,l3
2020-04-05 11:00:00,11,8.2,CS,SO2,l3
2020-04-05 12:00:00,12,8.4,CS,SO2,l3
2020-04-05 13:00:00,13,8.2,CS,SO2,l3
2020-04-05 14:00:00,14,7.6,CS,SO2,l3
2020-04-05 15:00:00,15,8.4,CS,SO2,l3
2020-04-05 16:00:00,16,7.8,CS,SO2,l3
2020-04-05 17:00:00,17,7.8,CS,SO2,l3
2020-04-05 18:00:00,18,8.0,CS,SO2,l3
2020-04-05 19:00:00,19,7.4,CS,SO2,l3
2020-04-05 20:00:00,20,7.4,CS,SO2,l3
2020-04-05 21:00:00,21,7.2,CS,SO2,l3
2020-04-05 22:00:00,22,7.2,CS,SO2,l3
2020-04-05 23:00:00,23,7.6,CS,SO2,l3
2020-04-06 00:00:00,0,7.6,CS,SO2,l3
2020-04-06 01:00:00,1,7.0,CS,SO2,l3
2020-04-06 02:00:00,2,7.2,CS,SO2,l3
2020-04-06 03:00:00,3,7.2,CS,SO2,l3
2020-04-06 04:00:00,4,7.4,CS,SO2,l3
2020-04-06 05:00:00,5,7.2,CS,SO2,l3
2020-04-06 06:00:00,6,7.2,CS,SO2,l3
2020-04-06 07:00:00,7,7.4,CS,SO2,l3
2020-04-06 08:00:00,8,8.0,CS,SO2,l3
2020-04-06 09:00:00,9,9.2,CS,SO2,l3
2020-04-06 10:00:00,10,9.6,CS,SO2,l3
2020-04-06 11:00:00,11,10.4,CS,SO2,l3
2020-04-06 12:00:00,12,10.0,CS,SO2,l3
2020-04-06 13:00:00,13,8.6,CS,SO2,l3
2020-04-06 14:00:00,14,8.4,CS,SO2,l3
2020-04-06 15:00:00,15,7.8,CS,SO2,l3
2020-04-06 16:00:00,16,7.6,CS,SO2,l3
2020-04-06 17:00:00,17,7.2,CS,SO2,l3
2020-04-06 18:00:00,18,7.0,CS,SO2,l3
2020-04-06 19:00:00,19,6.8,CS,SO2,l3
2020-04-06 20:00:00,20,6.8,CS,SO2,l3
2020-04-06 21:00:00,21,7.0,CS,SO2,l3
2020-04-06 22:00:00,22,7.2,CS,SO2,l3
2020-04-06 23:00:00,23,7.6,CS,SO2,l3
2020-04-07 00:00:00,0,7.8,CS,SO2,l3
2020-04-07 01:00:00,1,7.0,CS,SO2,l3
2020-04-07 02:00:00,2,6.8,CS,SO2,l3
2020-04-07 03:00:00,3,6.8,CS,SO2,l3
2020-04-07 04:00:00,4,6.8,CS,SO2,l3
2020-04-07 05:00:00,5,7.0,CS,SO2,l3
2020-04-07 06:00:00,6,6.6,CS,SO2,l3
2020-04-07 07:00:00,7,6.4,CS,SO2,l3
2020-04-07 08:00:00,8,7.4,CS,SO2,l3
2020-04-07 09:00:00,9,8.6,CS,SO2,l3
2020-04-07 10:00:00,10,11.8,CS,SO2,l3
2020-04-07 11:00:00,11,13.4,CS,SO2,l3
2020-04-07 12:00:00,12,12.0,CS,SO2,l3
2020-04-07 13:00:00,13,9.4,CS,SO2,l3
2020-04-07 14:00:00,14,9.4,CS,SO2,l3
2020-04-07 15:00:00,15,8.2,CS,SO2,l3
2020-04-07 16:00:00,16,7.2,CS,SO2,l3
2020-04-07 17:00:00,17,7.2,CS,SO2,l3
2020-04-07 18:00:00,18,6.8,CS,SO2,l3
2020-04-07 19:00:00,19,7.4,CS,SO2,l3
2020-04-07 20:00:00,20,7.6,CS,SO2,l3
2020-04-07 21:00:00,21,7.0,CS,SO2,l3
2020-04-07 22:00:00,22,7.2,CS,SO2,l3
2020-04-07 23:00:00,23,7.4,CS,SO2,l3
2020-04-08 00:00:00,0,7.8,CS,SO2,l3
2020-04-08 01:00:00,1,8.0,CS,SO2,l3
2020-04-08 02:00:00,2,8.0,CS,SO2,l3
2020-04-08 03:00:00,3,7.6,CS,SO2,l3
2020-04-08 04:00:00,4,7.4,CS,SO2,l3
2020-04-08 05:00:00,5,7.8,CS,SO2,l3
2020-04-08 06:00:00,6,7.8,CS,SO2,l3
2020-04-08 07:00:00,7,8.0,CS,SO2,l3
2020-04-08 08:00:00,8,9.8,CS,SO2,l3
2020-04-08 09:00:00,9,12.8,CS,SO2,l3
2020-04-08 10:00:00,10,12.6,CS,SO2,l3
2020-04-08 11:00:00,11,12.0,CS,SO2,l3
2020-04-08 12:00:00,12,10.0,CS,SO2,l3
2020-04-08 13:00:00,13,7.8,CS,SO2,l3
2020-04-08 14:00:00,14,7.4,CS,SO2,l3
2020-04-08 15:00:00,15,7.2,CS,SO2,l3
2020-04-08 16:00:00,16,7.0,CS,SO2,l3
2020-04-08 17:00:00,17,6.8,CS,SO2,l3
2020-04-08 18:00:00,18,7.2,CS,SO2,l3
2020-04-08 19:00:00,19,7.2,CS,SO2,l3
2020-04-08 20:00:00,20,7.6,CS,SO2,l3
2020-04-08 21:00:00,21,7.6,CS,SO2,l3
2020-04-08 22:00:00,22,7.6,CS,SO2,l3
2020-04-08 23:00:00,23,7.6,CS,SO2,l3
2020-04-09 00:00:00,0,7.6,CS,SO2,l3
2020-04-09 01:00:00,1,7.4,CS,SO2,l3
2020-04-09 02:00:00,2,7.8,CS,SO2,l3
2020-04-09 03:00:00,3,7.6,CS,SO2,l3
2020-04-09 04:00:00,4,7.6,CS,SO2,l3
2020-04-09 05:00:00,5,6.8,CS,SO2,l3
2020-04-09 06:00:00,6,7.4,CS,SO2,l3
2020-04-09 07:00:00,7,7.8,CS,SO2,l3
2020-04-09 08:00:00,8,8.6,CS,SO2,l3
2020-04-09 09:00:00,9,11.2,CS,SO2,l3
2020-04-09 10:00:00,10,13.4,CS,SO2,l3
2020-04-09 11:00:00,11,,CS,SO2,l3
2020-04-09 12:00:00,12,12.4,CS,SO2,l3
2020-04-09 13:00:00,13,10.8,CS,SO2,l3
2020-04-09 14:00:00,14,10.4,CS,SO2,l3
2020-04-09 15:00:00,15,8.6,CS,SO2,l3
2020-04-09 16:00:00,16,7.6,CS,SO2,l3
2020-04-09 17:00:00,17,7.4,CS,SO2,l3
2020-04-09 18:00:00,18,7.2,CS,SO2,l3
2020-04-09 19:00:00,19,7.2,CS,SO2,l3
2020-04-09 20:00:00,20,7.6,CS,SO2,l3
2020-04-09 21:00:00,21,7.4,CS,SO2,l3
2020-04-09 22:00:00,22,8.2,CS,SO2,l3
2020-04-09 23:00:00,23,8.8,CS,SO2,l3
2020-04-10 00:00:00,0,10.2,CS,SO2,l3
2020-04-10 01:00:00,1,10.0,CS,SO2,l3
2020-04-10 02:00:00,2,9.6,CS,SO2,l3
2020-04-10 03:00:00,3,8.6,CS,SO2,l3
2020-04-10 04:00:00,4,9.4,CS,SO2,l3
2020-04-10 05:00:00,5,9.4,CS,SO2,l3
2020-04-10 06:00:00,6,10.0,CS,SO2,l3
2020-04-10 07:00:00,7,9.6,CS,SO2,l3
2020-04-10 08:00:00,8,10.0,CS,SO2,l3
2020-04-10 09:00:00,9,10.0,CS,SO2,l3
2020-04-10 10:00:00,10,10.2,CS,SO2,l3
2020-04-10 11:00:00,11,9.6,CS,SO2,l3
2020-04-10 12:00:00,12,9.2,CS,SO2,l3
2020-04-10 13:00:00,13,9.2,CS,SO2,l3
2020-04-10 14:00:00,14,8.6,CS,SO2,l3
2020-04-10 15:00:00,15,7.6,CS,SO2,l3
2020-04-10 16:00:00,16,7.2,CS,SO2,l3
2020-04-10 17:00:00,17,5.8,CS,SO2,l3
2020-04-10 18:00:00,18,5.4,CS,SO2,l3
2020-04-10 19:00:00,19,5.0,CS,SO2,l3
2020-04-10 20:00:00,20,5.4,CS,SO2,l3
2020-04-10 21:00:00,21,5.8,CS,SO2,l3
2020-04-10 22:00:00,22,5.8,CS,SO2,l3
2020-04-10 23:00:00,23,6.0,CS,SO2,l3
2020-04-11 00:00:00,0,6.0,CS,SO2,l3
2020-04-11 01:00:00,1,5.4,CS,SO2,l3
2020-04-11 02:00:00,2,5.6,CS,SO2,l3
2020-04-11 03:00:00,3,6.0,CS,SO2,l3
2020-04-11 04:00:00,4,6.6,CS,SO2,l3
2020-04-11 05:00:00,5,6.6,CS,SO2,l3
2020-04-11 06:00:00,6,6.8,CS,SO2,l3
2020-04-11 07:00:00,7,6.2,CS,SO2,l3
2020-04-11 08:00:00,8,6.8,CS,SO2,l3
2020-04-11 09:00:00,9,7.2,CS,SO2,l3
2020-04-11 10:00:00,10,6.4,CS,SO2,l3
2020-04-11 11:00:00,11,6.0,CS,SO2,l3
2020-04-11 12:00:00,12,6.4,CS,SO2,l3
2020-04-11 13:00:00,13,6.2,CS,SO2,l3
2020-04-11 14:00:00,14,6.0,CS,SO2,l3
2020-04-11 15:00:00,15,6.2,CS,SO2,l3
2020-04-11 16:00:00,16,6.2,CS,SO2,l3
2020-04-11 17:00:00,17,6.0,CS,SO2,l3
2020-04-11 18:00:00,18,6.2,CS,SO2,l3
2020-04-11 19:00:00,19,6.0,CS,SO2,l3
2020-04-11 20:00:00,20,6.0,CS,SO2,l3
2020-04-11 21:00:00,21,5.8,CS,SO2,l3
2020-04-11 22:00:00,22,6.0,CS,SO2,l3
2020-04-11 23:00:00,23,6.2,CS,SO2,l3
2020-04-12 00:00:00,0,5.8,CS,SO2,l3
2020-04-12 01:00:00,1,6.0,CS,SO2,l3
2020-04-12 02:00:00,2,6.4,CS,SO2,l3
2020-04-12 03:00:00,3,6.6,CS,SO2,l3
2020-04-12 04:00:00,4,6.4,CS,SO2,l3
2020-04-12 05:00:00,5,6.2,CS,SO2,l3
2020-04-12 06:00:00,6,6.6,CS,SO2,l3
2020-04-12 07:00:00,7,6.8,CS,SO2,l3
2020-04-12 08:00:00,8,7.8,CS,SO2,l3
2020-04-12 09:00:00,9,9.6,CS,SO2,l3
2020-04-12 10:00:00,10,9.2,CS,SO2,l3
2020-04-12 11:00:00,11,8.4,CS,SO2,l3
2020-04-12 12:00:00,12,7.6,CS,SO2,l3
2020-04-12 13:00:00,13,7.0,CS,SO2,l3
2020-04-12 14:00:00,14,6.6,CS,SO2,l3
2020-04-12 15:00:00,15,6.6,CS,SO2,l3
2020-04-12 16:00:00,16,6.4,CS,SO2,l3
2020-04-12 17:00:00,17,6.8,CS,SO2,l3
2020-04-12 18:00:00,18,7.0,CS,SO2,l3
2020-04-12 19:00:00,19,7.2,CS,SO2,l3
2020-04-12 20:00:00,20,7.8,CS,SO2,l3
2020-04-12 21:00:00,21,7.8,CS,SO2,l3
2020-04-12 22:00:00,22,8.0,CS,SO2,l3
2020-04-12 23:00:00,23,7.4,CS,SO2,l3
2020-04-13 00:00:00,0,6.8,CS,SO2,l3
2020-04-13 01:00:00,1,7.0,CS,SO2,l3
2020-04-13 02:00:00,2,6.6,CS,SO2,l3
2020-04-13 03:00:00,3,6.8,CS,SO2,l3
2020-04-13 04:00:00,4,7.0,CS,SO2,l3
2020-04-13 05:00:00,5,7.2,CS,SO2,l3
2020-04-13 06:00:00,6,6.6,CS,SO2,l3
2020-04-13 07:00:00,7,6.8,CS,SO2,l3
2020-04-13 08:00:00,8,8.0,CS,SO2,l3
2020-04-13 09:00:00,9,8.6,CS,SO2,l3
2020-04-13 10:00:00,10,9.4,CS,SO2,l3
2020-04-13 11:00:00,11,8.8,CS,SO2,l3
2020-04-13 12:00:00,12,8.2,CS,SO2,l3
2020-04-13 13:00:00,13,7.2,CS,SO2,l3
2020-04-13 14:00:00,14,6.8,CS,SO2,l3
2020-04-13 15:00:00,15,10.0,CS,SO2,l3
2020-04-13 16:00:00,16,6.6,CS,SO2,l3
2020-04-13 17:00:00,17,6.6,CS,SO2,l3
2020-04-13 18:00:00,18,6.6,CS,SO2,l3
2020-04-13 19:00:00,19,6.4,CS,SO2,l3
2020-04-13 20:00:00,20,6.2,CS,SO2,l3
2020-04-13 21:00:00,21,6.6,CS,SO2,l3
2020-04-13 22:00:00,22,7.0,CS,SO2,l3
2020-04-13 23:00:00,23,7.6,CS,SO2,l3
2020-04-14 00:00:00,0,7.4,CS,SO2,l3
2020-04-14 01:00:00,1,8.2,CS,SO2,l3
2020-04-14 02:00:00,2,9.0,CS,SO2,l3
2020-04-14 03:00:00,3,10.2,CS,SO2,l3
2020-04-14 04:00:00,4,10.8,CS,SO2,l3
2020-04-14 05:00:00,5,11.0,CS,SO2,l3
2020-04-14 06:00:00,6,11.6,CS,SO2,l3
2020-04-14 07:00:00,7,11.4,CS,SO2,l3
2020-04-14 08:00:00,8,12.0,CS,SO2,l3
2020-04-14 09:00:00,9,11.0,CS,SO2,l3
2020-04-14 10:00:00,10,9.6,CS,SO2,l3
2020-04-14 11:00:00,11,10.4,CS,SO2,l3
2020-04-14 12:00:00,12,11.0,CS,SO2,l3
2020-04-14 13:00:00,13,9.4,CS,SO2,l3
2020-04-14 14:00:00,14,8.2,CS,SO2,l3
2020-04-14 15:00:00,15,8.2,CS,SO2,l3
2020-04-14 16:00:00,16,7.8,CS,SO2,l3
2020-04-14 17:00:00,17,7.2,CS,SO2,l3
2020-04-14 18:00:00,18,7.2,CS,SO2,l3
2020-04-14 19:00:00,19,7.4,CS,SO2,l3
2020-04-14 20:00:00,20,7.2,CS,SO2,l3
2020-04-14 21:00:00,21,7.8,CS,SO2,l3
2020-04-14 22:00:00,22,8.4,CS,SO2,l3
2020-04-14 23:00:00,23,8.4,CS,SO2,l3
2020-04-15 00:00:00,0,9.0,CS,SO2,l3
2020-04-15 01:00:00,1,9.2,CS,SO2,l3
2020-04-15 02:00:00,2,8.6,CS,SO2,l3
2020-04-15 03:00:00,3,9.4,CS,SO2,l3
2020-04-15 04:00:00,4,10.8,CS,SO2,l3
2020-04-15 05:00:00,5,11.8,CS,SO2,l3
2020-04-15 06:00:00,6,12.0,CS,SO2,l3
2020-04-15 07:00:00,7,14.4,CS,SO2,l3
2020-04-15 08:00:00,8,16.4,CS,SO2,l3
2020-04-15 09:00:00,9,16.8,CS,SO2,l3
2020-04-15 10:00:00,10,15.8,CS,SO2,l3
2020-04-15 11:00:00,11,13.6,CS,SO2,l3
2020-04-15 12:00:00,12,11.8,CS,SO2,l3
2020-04-15 13:00:00,13,10.6,CS,SO2,l3
2020-04-15 14:00:00,14,9.4,CS,SO2,l3
2020-04-15 15:00:00,15,8.6,CS,SO2,l3
2020-04-15 16:00:00,16,8.2,CS,SO2,l3
2020-04-15 17:00:00,17,7.8,CS,SO2,l3
2020-04-15 18:00:00,18,7.8,CS,SO2,l3
2020-04-15 19:00:00,19,7.6,CS,SO2,l3
2020-04-15 20:00:00,20,7.8,CS,SO2,l3
2020-04-15 21:00:00,21,9.2,CS,SO2,l3
2020-04-15 22:00:00,22,10.6,CS,SO2,l3
2020-04-15 23:00:00,23,11.2,CS,SO2,l3
2020-04-16 00:00:00,0,11.2,CS,SO2,l3
2020-04-16 01:00:00,1,12.0,CS,SO2,l3
2020-04-16 02:00:00,2,12.4,CS,SO2,l3
2020-04-16 03:00:00,3,14.8,CS,SO2,l3
2020-04-16 04:00:00,4,14.6,CS,SO2,l3
2020-04-16 05:00:00,5,14.2,CS,SO2,l3
2020-04-16 06:00:00,6,14.8,CS,SO2,l3
2020-04-16 07:00:00,7,14.6,CS,SO2,l3
2020-04-16 08:00:00,8,16.8,CS,SO2,l3
2020-04-16 09:00:00,9,18.4,CS,SO2,l3
2020-04-16 10:00:00,10,17.0,CS,SO2,l3
2020-04-16 11:00:00,11,14.4,CS,SO2,l3
2020-04-16 12:00:00,12,13.8,CS,SO2,l3
2020-04-16 13:00:00,13,12.4,CS,SO2,l3
2020-04-16 14:00:00,14,11.6,CS,SO2,l3
2020-04-16 15:00:00,15,10.4,CS,SO2,l3
2020-04-16 16:00:00,16,9.6,CS,SO2,l3
2020-04-16 17:00:00,17,9.2,CS,SO2,l3
2020-04-16 18:00:00,18,8.8,CS,SO2,l3
2020-04-16 19:00:00,19,8.6,CS,SO2,l3
2020-04-16 20:00:00,20,9.0,CS,SO2,l3
2020-04-16 21:00:00,21,9.2,CS,SO2,l3
2020-04-16 22:00:00,22,9.6,CS,SO2,l3
2020-04-16 23:00:00,23,10.2,CS,SO2,l3
2020-04-17 00:00:00,0,11.0,CS,SO2,l3
2020-04-17 01:00:00,1,10.8,CS,SO2,l3
2020-04-17 02:00:00,2,10.6,CS,SO2,l3
2020-04-17 03:00:00,3,10.6,CS,SO2,l3
2020-04-17 04:00:00,4,10.6,CS,SO2,l3
2020-04-17 05:00:00,5,11.2,CS,SO2,l3
2020-04-17 06:00:00,6,12.2,CS,SO2,l3
2020-04-17 07:00:00,7,12.4,CS,SO2,l3
2020-04-17 08:00:00,8,12.0,CS,SO2,l3
2020-04-17 09:00:00,9,12.0,CS,SO2,l3
2020-04-17 10:00:00,10,11.6,CS,SO2,l3
2020-04-17 11:00:00,11,11.6,CS,SO2,l3
2020-04-17 12:00:00,12,11.2,CS,SO2,l3
2020-04-17 13:00:00,13,10.2,CS,SO2,l3
2020-04-17 14:00:00,14,9.8,CS,SO2,l3
2020-04-17 15:00:00,15,10.0,CS,SO2,l3
2020-04-17 16:00:00,16,9.4,CS,SO2,l3
2020-04-17 17:00:00,17,9.2,CS,SO2,l3
2020-04-17 18:00:00,18,8.4,CS,SO2,l3
2020-04-17 19:00:00,19,8.0,CS,SO2,l3
2020-04-17 20:00:00,20,7.8,CS,SO2,l3
2020-04-17 21:00:00,21,8.0,CS,SO2,l3
2020-04-17 22:00:00,22,7.0,CS,SO2,l3
2020-04-17 23:00:00,23,6.6,CS,SO2,l3
2020-04-18 00:00:00,0,7.0,CS,SO2,l3
2020-04-01 00:00:00,0,3.9166666666666665,CS,SO2,l3
2020-04-01 01:00:00,1,4.216666666666667,CS,SO2,l3
2020-04-01 02:00:00,2,3.966666666666667,CS,SO2,l3
2020-04-01 03:00:00,3,4.216666666666667,CS,SO2,l3
2020-04-01 04:00:00,4,4.1499999999999995,CS,SO2,l3
2020-04-01 05:00:00,5,3.983333333333333,CS,SO2,l3
2020-04-01 06:00:00,6,3.9333333333333336,CS,SO2,l3
2020-04-01 07:00:00,7,4.116666666666666,CS,SO2,l3
2020-04-01 08:00:00,8,4.433333333333334,CS,SO2,l3
2020-04-01 09:00:00,9,4.216666666666667,CS,SO2,l3
2020-04-01 10:00:00,10,4.05,CS,SO2,l3
2020-04-01 11:00:00,11,3.783333333333333,CS,SO2,l3
2020-04-01 12:00:00,12,3.9333333333333336,CS,SO2,l3
2020-04-01 13:00:00,13,3.85,CS,SO2,l3
2020-04-01 14:00:00,14,3.983333333333333,CS,SO2,l3
2020-04-01 15:00:00,15,3.9,CS,SO2,l3
2020-04-01 16:00:00,16,3.983333333333333,CS,SO2,l3
2020-04-01 17:00:00,17,4.083333333333333,CS,SO2,l3
2020-04-01 18:00:00,18,4.116666666666666,CS,SO2,l3
2020-04-01 19:00:00,19,4.166666666666667,CS,SO2,l3
2020-04-01 20:00:00,20,4.283333333333333,CS,SO2,l3
2020-04-01 21:00:00,21,4.25,CS,SO2,l3
2020-04-01 22:00:00,22,4.5,CS,SO2,l3
2020-04-01 23:00:00,23,4.866666666666666,CS,SO2,l3
2020-04-02 00:00:00,0,4.3500000000000005,CS,SO2,l3
2020-04-02 01:00:00,1,4.166666666666667,CS,SO2,l3
2020-04-02 02:00:00,2,3.966666666666667,CS,SO2,l3
2020-04-02 03:00:00,3,4.166666666666667,CS,SO2,l3
2020-04-02 04:00:00,4,4.083333333333333,CS,SO2,l3
2020-04-02 05:00:00,5,3.8333333333333335,CS,SO2,l3
2020-04-02 06:00:00,6,3.966666666666667,CS,SO2,l3
2020-04-02 07:00:00,7,3.9333333333333336,CS,SO2,l3
2020-04-02 08:00:00,8,4.0,CS,SO2,l3
2020-04-02 09:00:00,9,4.183333333333334,CS,SO2,l3
2020-04-02 10:00:00,10,4.533333333333333,CS,SO2,l3
2020-04-02 11:00:00,11,5.25,CS,SO2,l3
2020-04-02 12:00:00,12,4.866666666666666,CS,SO2,l3
2020-04-02 13:00:00,13,4.833333333333333,CS,SO2,l3
2020-04-02 14:00:00,14,4.516666666666667,CS,SO2,l3
2020-04-02 15:00:00,15,4.183333333333334,CS,SO2,l3
2020-04-02 16:00:00,16,4.066666666666666,CS,SO2,l3
2020-04-02 17:00:00,17,3.6166666666666667,CS,SO2,l3
2020-04-02 18:00:00,18,3.483333333333333,CS,SO2,l3
2020-04-02 19:00:00,19,3.8333333333333335,CS,SO2,l3
2020-04-02 20:00:00,20,3.75,CS,SO2,l3
2020-04-02 21:00:00,21,3.8333333333333335,CS,SO2,l3
2020-04-02 22:00:00,22,4.0,CS,SO2,l3
2020-04-02 23:00:00,23,4.266666666666667,CS,SO2,l3
2020-04-03 00:00:00,0,4.583333333333333,CS,SO2,l3
2020-04-03 01:00:00,1,3.8666666666666667,CS,SO2,l3
2020-04-03 02:00:00,2,3.533333333333333,CS,SO2,l3
2020-04-03 03:00:00,3,3.4166666666666665,CS,SO2,l3
2020-04-03 04:00:00,4,3.5666666666666664,CS,SO2,l3
2020-04-03 05:00:00,5,3.9,CS,SO2,l3
2020-04-03 06:00:00,6,3.9499999999999997,CS,SO2,l3
2020-04-03 07:00:00,7,3.9499999999999997,CS,SO2,l3
2020-04-03 08:00:00,8,4.216666666666667,CS,SO2,l3
2020-04-03 09:00:00,9,4.333333333333333,CS,SO2,l3
2020-04-03 10:00:00,10,4.916666666666667,CS,SO2,l3
2020-04-03 11:00:00,11,4.866666666666666,CS,SO2,l3
2020-04-03 12:00:00,12,4.95,CS,SO2,l3
2020-04-03 13:00:00,13,4.716666666666667,CS,SO2,l3
2020-04-03 14:00:00,14,4.7,CS,SO2,l3
2020-04-03 15:00:00,15,4.3,CS,SO2,l3
2020-04-03 16:00:00,16,4.283333333333333,CS,SO2,l3
